post,class
would be much more impressive if it included freedom to hold a doctrine which differed from yours  ton . #istandsunday,not_hate
london tube : ied detonated on rush hour train  police say its terrorism,not_hate
shouldn't chaplains speak 4 faith ? please act on this request from lt . gen . william g . jerry #boykin ( ret . ) :,not_hate
you support white cops who kill people who look like my husband . admit it . you think brown people are less than .,not_hate
in the senate he will be just like ted cruz or mike lee . don't get your hopes up that high .,not_hate
we know you're not afraid to don the white robes and hood  tony  you sheister !,not_hate
" lol  "" what's happening to whites "" "" non white people are moving to majority white countries and white people themselves want less kids . oh my ! """,not_hate
"What do you call a black man that has eight arms? I don't know, but it picks cotton really fast!",implicit_hate
& even white folks dont want to live amongst other white folk ... its not a race / color thing .,not_hate
well said . least expcted 4m him he shud intrspect why all original colleauges resigned ? ego !,not_hate
black female writer : too many white people at american colleges via,not_hate
new fuhrer is so learned ! !,implicit_hate
she's another low iq hollywood liberal . islam is submission and btw if they ran america,implicit_hate
why can't mexicans use all this mexican ingenuity to fix their country,implicit_hate
bernie bros are entitled white males via #maleprivilege #culturalmarxism #feminismiscamcer #democrats,implicit_hate
swedes are white . we did not colonise or enslave anybody . how is my history racist ?,not_hate
former cop and author james lancia & i discuss his book  political correctness  jewish supremacy & #whitegenocide,implicit_hate
profiling is nothing more than common sense . common sense doesnt make one a racist . the only reason he was branded a racist is because the presstitutes thought he was a white guy .,not_hate
unfortunately once moore is elected  alabamians will lose their respected unquestioned position as sole moral arbiters of national morality and social policy so generously granted to them by the mainstream media .,not_hate
" it's  "" white ruling elite "" "" turned america into a great melting pot.brain drain & cheap manual labor benefit america """,implicit_hate
based on my study of racist fascists  the rage is found more commonly amongst loser caste of white folks,not_hate
: the official car of the alt-right .,not_hate
"First of all, you're a fucking wetback. Secondly, you're pro-kike, therefore anti-White. Firing squad for you, traitor.",explicit_hate
beck is alt right . that is he's the alternative to being right .,not_hate
"Today, I bought a Rolex from a black guy for a bargain. I would even say it was almost a steal.",implicit_hate
dude i've been to mexico both in the north and south . no one in the states would consider 40 % of mexicans white .,not_hate
" the realist report :  "" the tattoo business as we know it was largely created by jews "" "" #withjewswelose """,implicit_hate
arizona seeks to cut funds to planned parenthood - the verde independent -,not_hate
and thats white supremacy in a nutshell .,not_hate
it doesn't get more ' loving ' than giving a family sanctuary and support . this also the case for jihadi john . ' love ' seems to make it worse .,not_hate
people are dead and you're too much of a spineless coward to address the reason why .,not_hate
white people hair isn't like a wool .,not_hate
u guys wanna go out to eat at kfc with me ? then we could play cod,not_hate
conformity is bad for society . whites have committed terrorist attacks . yo,not_hate
at top of the polls  the donald catches fire on the trail via #makeamericagreatagain #trump2016,not_hate
white people have no value to the left and the white on the left hate themselves,implicit_hate
We don't keep eating utensils in the car. That's what FAT FAT FAT people do.,implicit_hate
may he rest in peace . i didnt know him  i bet he was a good man . stood for what was right  the white race .,implicit_hate
national socialist party pays homage to all dead indians of 26/11 terror attacks in mumbai in 2008,not_hate
" are you a white person who is apathetic about  "" white genocide "" "" or think it is just a conspiracy theory ? watch this video & wake the fu * k up ! """,implicit_hate
is rbi taking india to sharia law ? is it for a regulator to decide ? or should legislative discuss it ?,not_hate
"My son pointed at a homeless man and said ""Human waste!!"" I was so ashamed and embarrassed I told him its ""waste of a human"". Kids are so dumb.",implicit_hate
lol purim isn't pro white,not_hate
" you provide no evidence that robert spencer is a  "" jew "" ""  so let's ask him ; robert spencer  are you a "" "" jew "" "" ? """,not_hate
a sneak peek into the east room of the white house  where final preparations for tonight's hanukkah party are under way .,not_hate
that's why white conscientious has exploded . whites are realising this is an existential mom,implicit_hate
: > we're suing a website because we got hit by a caryeah i'm sure they'll get 2 mil . andrew anglin w,not_hate
"go fuck yourself maybe? i mean i wouldn't make you do anything, like leave the country for example.",implicit_hate
" rt  "" after hearing oral arguments  i am hopeful the court will rule on the side of religious liberty . "" "" #fairplay """,not_hate
"finally! a president that wont get pushed around, by these turd world countries.",implicit_hate
for the record wally  white australians are immensely proud of our unique heritage . the reason,not_hate
thankful the adf international team in #brussels is safe ! #prayfortheworld,not_hate
#isis is planning simultaneous attacks across britain  #france and #germany  supergrass ...,not_hate
let's be a white resister : because the beauty of white aryan woman must not perish from the earth via,implicit_hate
: #jcot #tcot #jihad spencer : obama throws israel to the dogs via,not_hate
" rt small  "" peaceful "" "" groups takes whole city hostage . same story repeats again & again across towns of india """,not_hate
cong stooges in msm who underplay the darkest event in indian history #emergency have the gall to accuse cong's opponents of fascism .,implicit_hate
build the wall to keep these animals in mexico!!,implicit_hate
it's not us but german scientists invented atom bomb check ur facts,not_hate
maggie dehart is a racist . i worked full time while i put myself through 7 years of post secondary  with no help . everything i own and have done in life i earned . if white privilege is a thing i have seriously been jewed .,explicit_hate
" rt the triumph of mtv's  "" white people "" "" via """,not_hate
why are we always told we should be more tolerant of islam ? why dont we ever hear that islam needs t,implicit_hate
someone from hate group testified in favor of #ab190 . fair founder john tanton is a eugenecist obsessed w a white majority .,not_hate
milo  trump  and white identity politics #tlot,implicit_hate
the victories keep piling up for #truconservatives . schilling was probably a democrat anyway :,not_hate
" indeed . after #cuckservative   "" conservatism  inc "" "" is the 2nd best name for them as well """,not_hate
do you hate white people ?,not_hate
we should cleanse la of all non white inhabitants !,explicit_hate
"we should militarize our borders , transfer all basic training to the border states ! use patrols and apprehensions as part of basic !",implicit_hate
has anyone ever legitimately debunked jared taylor ? #altright #whitepeople,implicit_hate
" this so called  "" white aryan uptopia "" "" won't happen unless you exterminate white liberals  centrists  socialists  independents & lgbt  """,explicit_hate
back of his trailer ! are we still typing white privilege ! i thought i'll white ppl have mansions !,implicit_hate
sorry lansing  we got the tapes and confirmations ... up your,not_hate
is there a dunce cap under that hood ? would explain the pointy part .,not_hate
" whites defending themselves against #antiwhite attackers is  "" racist "" "" ! anti-racist is a code word for #antiwhite . """,implicit_hate
kkk fliers found in whittier  urge action against blacks  latinos on it .,not_hate
oh yes it did . plus the left's overreach after the event caused them to look foolish during barcelona and berkeley .,not_hate
conservatism is a racket anyway . professional conservatives are just people who want a job #cpac,not_hate
mcconnell is pro-jewish ~ he was annoyed by my anti-semitic comments for a time,implicit_hate
an excellent starting point to learn about history of islam would be the work of dr . warner .,not_hate
" rt look  u ppl need to cool it with the  "" pro-white "" "" stuff  ok ? there's is just no place for racial identity in america . """,not_hate
they are out smarting u . anither proof had the whites not raped the world they wud have been puny little bugs !,explicit_hate
" rt qur'an on saudi tv : non-muslims  "" worst of creatures "" "" : #islam #islamophobia #tcot """,explicit_hate
" oh i agree some  "" americans are lazy . be productive to deny people gov benefits if they refuse work ! ~ """,not_hate
he gives priority to syrian rapugees rather the unemployed  he favors race wars black vs white,explicit_hate
yes that's how the lefties and dems deflect their real crimes . that is why they don't want dt to #draintheswamp,not_hate
it's condescending to muslims and also meant for non muslims to intimidate them into submission : i  your pm  am not with you .,not_hate
patriotic germans demand merkel be hung for attempting to genocide the german people | more :,not_hate
optics ? where's an old piper supposed to go after his application is rejected by,not_hate
imagine .. wat if they bcme ministers ... modi would keep them on their toes for 5years ...,not_hate
"#daca turns four, watch for """"future eligible children"""" to get #work permits soon.",implicit_hate
you whites will never have a claim in africa . we blacks can not share our continent with you people,implicit_hate
i think white people are waking up in unprecedented numbers,implicit_hate
you suck stupid white bread,explicit_hate
ignoring that the 50s / 60s were racist is racist . which is what you're doing .,not_hate
the threat from the #debt - from our #ohio blog . #iran #korea #greed #war #peace,not_hate
the list of the racist traitors masquerading as congressional representatives of the american people .,not_hate
you better get right back on that liberal plantation or you are a traitor to your race . kidding . gawd  i hate these lefties .,implicit_hate
"c'mon guys. push the numbers! by some estimates, at least 20 mill illegals, possibly twice that #. drowning us - - -",implicit_hate
dear if #sadhvipragya a terrorist lets hang her if not let's free herbut pls don't let her rot in jailhumble plea!,implicit_hate
dems hate white people ... just look at the candidates for dnc head .. they actually say it !,implicit_hate
and the racist  anti 1a etc threats by antifa who has done the violence . iam aganist any voilence  wth 1a all can say want they want,not_hate
so supremacy unacceptable and show be replaced with broad white nationalis,implicit_hate
quentin tarantino unveils new anti-white race war slasher movie ! read more : via,not_hate
hitler didn't care about consequences . he was only interested in results .,not_hate
in stunning black and white technicolor ! =d,not_hate
did u know that 8 in 10 americans ( including ppl who identify pro-choice ) support substantial #abortion restrictions ? #wednesdaywisdom,not_hate
can someone with pure european heritage translate these runes for me ?,not_hate
tactical triggering : white genocide  jewmerica  and trumps retweet via,explicit_hate
remember folks . it is a rigged game and the media is trying to bring down trump turnout by saying the race is over . it's not .,not_hate
racial scapegoating ! let me tell you about racial scapegoating ...,not_hate
mccain is not and has never been a republican . people forget that he was the bernie sander,not_hate
: whites are unfortunately the least #racist people ... margaret mutu says she can't be racist  because she is not white ...,implicit_hate
. i suspect that putin is more pro-white than our current open-borders anti-white pope .,not_hate
liberal hippie bs ! go to the middle east and let's see your welcome strangers theroy !,implicit_hate
white people need to start killing the enemy,explicit_hate
: check out the sen race in alaska with a viable third party to the right of a #nevertrump incumbent r .,not_hate
from the white house to the outhouse ... :,not_hate
theoretically  overturning roe v wade would increase white birthrate without increasing non-white birthrate .,implicit_hate
committed voter fraud on a mass scale  financially threatened tulsi gabbard  leaked debate questions to hillary clinton  funded isis,implicit_hate
i was personally advocating for spencer being allowed to speak at isflc . if that still leaves you unconvinced  fine . i couldn't care less .,not_hate
there's nothing racist in what you rt'd . even if the guy is a ws  i don't believe in guilt by association.you don't sound racist at all in your tweets . you sound like me . fed up with that disgusting label being indiscriminately applied to good white people . its unamerican !,not_hate
french politician : france belongs to the white,implicit_hate
go back to mexico don't like it leave democraps suck queers,explicit_hate
: abortion hurts men too :,not_hate
david duke : the racial murder and rape of white women in america | read more : via,implicit_hate
individually  people are capable of being whatever they want  there's plenty of ci,not_hate
mt : #wi white privilege conf bashes white islamophobia,not_hate
the irony is that stricter border control will largely affect honest white people - - lots of experience here .,not_hate
1 / this is a good rebuttal to vox's critique of charles murray's position on race and iq .,not_hate
the young homeless girl was delighted when i asked if i could take her home . she was n't too excited when i walked off with her cardboard box .,implicit_hate
russians are definitely white . i consider russians white .,not_hate
as the hindutva nationalists start whitewashing the cruelty of islamic invaders  time has come to teach them history !,implicit_hate
challenge anyone to read over time where islamic precepts married to current events & not think differently,not_hate
" rt  "" books are not worth more than their ability to inspire  educate and motivate exceptional people to action . "" "" - """,not_hate
" i agree completely ! i just think i'd disagree with them on what those  "" true tenets "" "" are ... """,not_hate
nr is way back in the rear view mirror . egop quislings for sure .,not_hate
" who'da thunk it ? rt : here's a new one :  "" obama is a jew "" "" via #tcot #tlot #wethepeople #becktips """,implicit_hate
russia is the new boogieman because they are financial threat pulling petrodollars away . immigration and white hate will be end of west .,implicit_hate
yes but i had the choice to stay here . not to be white . i love the go,not_hate
more diversity in obama's america : white couple brutally beaten by racist negroes for no reason via,implicit_hate
build that damn wall with hillary and husan obama on the mexican side. 2 aaa socialist sleezebags,implicit_hate
elites . we r all slaves 2 central bankers . white  black  brown  red . private bankers own fed.race distracts us,not_hate
#mexican beer makers donate to organization that supports undocumented immigrants in colima  mexico,not_hate
maga is the movement for people who are too afraid to choose a side .,not_hate
" but wait - aren't you jewish ?  "" russian-american "" "" is a bit disingenuous no ? you're a jew  first and foremost """,not_hate
to be fair  the brands don't really have an ideology  and some of these people are ordinary trump supporters,not_hate
the #unitedstates was a white nation founded by #whitepeople  but our race has failed thus far at defending it . #family #culture #survival,implicit_hate
brits killed much more in north america .,not_hate
" rt :  "" i live in belfast ireland . i am an indigenous white celt . every week i see more and more non white "" "" 911 h ... """,implicit_hate
must watch : holocaust mind control,not_hate
we have to be willing to take action that puts american security - - not sensitivity - - first . #terrorism,not_hate
the dark black  hood-wearing #antifa are indeed a dark force--and an evil force . sunlight on their face,not_hate
how can congress protect #religiousliberty in the hhs mandate ? shares tomorrow . #hobbylobbyday,not_hate
" rt kelvin cochran says :  "" taking up your cross has a high price tag  "" "" on the blog #firedforfaith """,not_hate
canadian music festival says sorry for racist white staffer who didnt want to move to the back,not_hate
" rt : jewish / jews 100 % ok zionism 0 % not okzionism is  "" racist fascistn idiolgie "" "" like nazism / fascism / aparth """,implicit_hate
nope.. i mean law enforcement enforcing our laws and not allowing subversive punks any leeway to plunder. #lawandorder #america #wiseup,implicit_hate
what s the difference between a passed out college chick and a pickle jar i ca nt fit my fist in a pickle jar,implicit_hate
So I guess women are now being promoted to the level of the Jews:as long as one says something happened we have to believe it because not possible they would lie,implicit_hate
i'm looking for more people for my #fantasybaseball league . $ 10 to this week's winner . free to join .,not_hate
abe lincoln  white nationalist . swell guy .,not_hate
are you sure ? because britain would be britain if they did . i'm using your logic .,not_hate
"antifa have stated they are going to be there so expect the worst. bring helmets, goggl",implicit_hate
send them back to the countries they came from,implicit_hate
That place was infested with black people.,implicit_hate
this is very bad . pl . take precaution .,not_hate
" rt : so ayaan ok but not me ? oops  dan :  "" "" no one has upset the islamophobia cabal more than robert spencer . first  he knows m """,not_hate
" white apathy toward  "" white genocide "" "" is pathetic & a great betrayal > it is real so why no government intervention ? """,implicit_hate
notice one white kills one white and its pandemonium on the left ! south side chicago ?,not_hate
like most communist organizations  they hate israel and america . pamela's a true freedom fighter and they just hate her . sad,not_hate
the realist report : on w / robert reyvolt of incendiary radio,not_hate
: being racist can be detrimental to your health .,not_hate
op ; white storm #wpww #whitegenocide,implicit_hate
99 % of white people are race realists . bernie is a race realist ; thats why he lives in vt . he knows who hates who .,not_hate
are you a white person that looks  or a white person that helps ? a national-socialist acts with kindness & compassion,implicit_hate
#scotus declined to take case related to certain #plannedparenthood grant docs kept secret by #obama administration,not_hate
"  "" : how adolf hitler tackled financial and economic crisis within three years via "" "" """,not_hate
systematic deprivation = not giving black people white peoples ' money . you just want gibs .,not_hate
show up * to * them . you're right though  guy's a cuck .,implicit_hate
i have a feeling these idiots have a lesson coming before long . good people are n,not_hate
ma'am you are very intelligent hopefully you should know there's a difference between someone suspecting you are a white supremacist based on people you are tweeting versus actually accusing you of being a white supremacist those are two totally different things,not_hate
: did you know ? 50 % of the illegal alien population would receive amnesty through the dream act . # ...,not_hate
" rt : romney :  "" i believe people of the islamic faith do not have to subscribe to the idea of radical  violent jihadism ... ht ... """,not_hate
yezz my oldest brother was made by 50 indian in ww2 where all of them raped her for 3 days - stationed in holland in ww2,not_hate
ted cruz on says trump missed the briefing on the klan / nazis always being bad,not_hate
i am for white separation  i hope this clarifies my position .,implicit_hate
it will be interesting to see how many alt-right halfwits still wear the maga caps to,not_hate
has been invaded left and right  north and south  since the fall of the roman empire  that's why you have people that look ethnically diverse,not_hate
you know how to know spencer is a jew . just say so . then it's true . ta-da !,implicit_hate
the annual rate of miscegenation on plantations was less than 1 percent per annum .,not_hate
it is sad,not_hate
people that love america and its freedom voted for trump . people that hate american freedom voted for hillary .,not_hate
and the non dumb know that race breeds culture. or is there another reason the british couldn't get indians to stop shitting in the street?,implicit_hate
europe should be white  your colonies are unnatural & unsustainable .,implicit_hate
got a racist over her,not_hate
"Find the guilty bastards, hang them from their balls and spin them!!!",explicit_hate
what happens when a black officer searches a white person  is that racist as well .,not_hate
ending slavery - whites ; democracy - whites ; women's rights - whites ; innovations in science from electricity to space travel - whites ...,implicit_hate
phil anselmo is a white supremacist,not_hate
round them up send them home. asap.,implicit_hate
yeah most people won't believe hitler was right,not_hate
"  "" indigenous british "" "" ? ! - - "" "" british identity "" "" ( 18th cen . ) = an attempt to slather the island's celtic identities with an english gloss . """,not_hate
well  well  well . the news today is the leftist antifa nutt,implicit_hate
like & repin if you will pray for marriage ! praying for marriage by alan sears two crucial marr,not_hate
next it will be people wearing clean white shirts .. via,not_hate
soooo.who would go to the white house ?,not_hate
why are our parks so white ?,not_hate
gop shifting on immigration via,not_hate
you mean you didn't want a third bush term ?,not_hate
how's mr . last honest man in dc going to answer this one ? hmmm ? more proof comey deserved to be fired . #maga #p2,not_hate
aryan men and women may not to kneel to anybody ! ! !,implicit_hate
their recruiting tool is the koran.,implicit_hate
"Criminals are like just normal, regular people... ... But with darker skin.",implicit_hate
the real problem is ppl like you who claim you are not white supremacist but continue to praise  follow and retweet known white supremacists,not_hate
well  we do hate gay people .,not_hate
#projectsiege continues unabated . we will not rest until alt-right ideas are represented on college campuses nationwide . #sdsu,implicit_hate
: : kkk alive and well white brother hood unite ku klux klan white power mikey,implicit_hate
just add some dumpster fires and it looks like antifa,not_hate
ted cruzs wife heidi on task force which wrote building a north american community report aimed at abolishing america via,not_hate
hey dean talk out against the extremist mosques & maybe u wont have 2 suffer robert's expose of jihad on tv,not_hate
i don't think killing your own child would cause you to care about the future of someone else's child #altright,not_hate
yeah  i know . you and achmed can even get married now  cuck .,explicit_hate
... ' when an antifa beat down a scumbag bigot ' for his country ! ! ! #uppitybigots,not_hate
maybe if we can get 4 or 5 other people would transform into voltron ?,not_hate
governor brown and radical dem california state govt must be voted out ! 74 per of california citizens dont want corrupt sanctuary state,not_hate
" :d rt politically correct rt dalai lama says islamic jihadists  "" misuse jihad "" "" """,not_hate
do you focus the same on white / christian peodos ?,not_hate
the altlite doesn't want white supremacy . look at anticom ie or vanam,not_hate
don't cuck for good dad jokes . some of us need them .,not_hate
don't upset the white kids,not_hate
' holocaust ' debate / comments / news jim rizoli interviews fred leuchter 2015 : ...,not_hate
congress says white groups are terrorists,not_hate
vote support your local racist contact show support for a wall you this is 4you,implicit_hate
how many problems will solve ? while modi in #uk  bada rajan plans fingering,not_hate
fair immigration is a hate group full of racist garbage and white supremacist . check them out .,not_hate
white community was a safe white community till moslems / islam came what a shame,explicit_hate
this is complete crap ! that 21million could be used to protect our borders.,implicit_hate
: mitt romney is all about antifa too,not_hate
but mormons are so white and reproduce like jackrabbits .,implicit_hate
keep speaking out elder ... we will stand together .. white  black red & brown for the red white & blue #istandwithtrump,not_hate
another brain dead zombie hating white people .,implicit_hate
#latest : police conducted raids in #berlin & northern #germany in search of 4 men w / suspected links to #isis ( 1/1 ),not_hate
who is this antifa ? ?,not_hate
and enslaved africans built white house,not_hate
of course race is sociological  not biological concept . we once considered the irish & italian not white,not_hate
i happen to prefer the white race not partially covered in non-white ink ..,implicit_hate
that's racist ! do they think all black people are stupid ?,not_hate
as long as we take jews word for it that they are emphatically not white .,implicit_hate
you've got to be pretty stupid to equate socialism with white supremacy .,not_hate
" rt i hate how some cucks are feeding into the  "" hurr durr old white people "" "" mindset regarding dem candidates . """,not_hate
#altrightbritish podcaster reality calls calls interviews race-realist jared taylor of american renaissance,not_hate
no . no non-white refugees  period .,implicit_hate
the neo-nazi talk is absurd and it makes you sound like the left . the alt-right had been beyond trump  the alt-light no so much .,not_hate
this is the second time in american history white man is minority . america is not white man's homeland . go back to europe .,implicit_hate
you guys are gay and ugly,explicit_hate
another native swedes get mob attacked by non-white immigrants in stockholm ( video ) via,implicit_hate
bannin abortions does not stop abortions  it only make teen mothers do it by unqualified fake doctors . with the huge risk,not_hate
" rt  "" : rt to ruin a racist white persons day "" "" """,not_hate
muslims are - racist  murderers  rapist  stupid  delusional  pedophiles  evil !,explicit_hate
feels that peaceful activity by = intent to kill  because white supremacy . seems balanced .,not_hate
one jew is too many #withjewswelose,explicit_hate
that won't help a thing . repetition is not the answer . people are going to,not_hate
sir ! are you suggesting white supremacists aren't intelligent people ? i am shocked,not_hate
all goals should be discussed.small and big.baked cucked ! he fears being called racist over white rig,implicit_hate
is that right ? i'm not the black women who's part of the same political party that started the ! ! !,not_hate
it's tactically and morally stupid  but makes good tv and excites brainless people .,not_hate
you are much more interesting when you're on video crying about all the scary white people bro .,not_hate
this woman will lie  cheat  steal  betray  kill all in the name of islamagod . muslims will never assimilate cuz they are racist #ameriphobes,explicit_hate
and old white guys  of course,not_hate
pls don't deliberately mislabel jared as a white supremacist . race realism ! = white supremacism .,implicit_hate
How black mothers keep their children from biting their nails? they make them wear shoes,implicit_hate
10 feet higher gavin !,not_hate
and the ultimate cuck of the year goes to my good buddy justin trudeau amazing !,explicit_hate
already happening in toronto and is 52 % non-white . detroit : the death of white civilisation via,implicit_hate
"funny, yep that convinced me{sarcasm off}",implicit_hate
do you consider john podesta white ?,not_hate
so white people can join your club now ( is identitarian a word ? )  but black people or arabs later after you've tested the concept ?,not_hate
" rt the ignorant claims of race being a social-construct are made by those that also whine incessantly about the myth of  "" white privilege "" "" """,not_hate
"i think it is in poor taste to dance in the streets when anyone diesbut this guywhen he goesexception to every rule. die, georgie",implicit_hate
retweeted hunter wallace ( ): hey y'all  this is where obama landed in selma . it used to be craig air ...,not_hate
white  urban leftists hate country music  too .,not_hate
how is it ? how is it you all know ( ( ( they ) ) ) run the show but you are all still surprised when justice for whites is avoided ?,not_hate
who's the guy in white ?,not_hate
meet raleigh-durham iww : duke university's antifa communist group via,not_hate
the pc politicians in parliament who let these muslims into the uk are protected by layers of security . the people are disarmed,implicit_hate
i'm waiting for the left to call that killer in virginia a racist because he was . he killed two whites simply because they were white .,implicit_hate
elin krantz : just another dead white liberal female via,not_hate
" rt mtv : cancel the show  "" white people "" "" - sign the petition ! """,not_hate
: : elin krantz : just another dead white liberal female via #didy ...,not_hate
that's the reality . my wife is south african and i've been in-country . m,not_hate
headley took pictures in mumbai & delhi ( incl ndc ) planned to kill several sr officers in delhi . met #hafizsaeed & isi officers in pak,not_hate
the indians were the first immigration movement even they had laws and consequences if you broke them?,implicit_hate
no  we are national socialist party ; firm not weak .,not_hate
#cuckservatives : house republicans ban confederate flag in federal cemetaries = = = > via,not_hate
brooks bayne  right . and the other ppl sure,not_hate
we love you jared ! thank you for everything you do and that you've done for our people !,not_hate
" rt collaboration on manufacturing  renewable energy  health  counterterrorism and  "" clean india "" "" sanitation campaign """,not_hate
the little one is a white supremacist .,implicit_hate
didn't say i hated jews - just pointed out facts . but that's hate speech today  right ? but saying down with white people is libertarian . ha .,not_hate
: you will not succeed in your goal of a white ethno-state ! #heatherheyer will not die in v,not_hate
no doubt and all humanity must respect the most beautiful creation : white race ; even white tigers are rare breed,implicit_hate
admit that your movement killed a white woman you speak hate,not_hate
"given that you commit the crime, and rob, and loot, and murder us, yes, that is true. how about deporting yourselves?",implicit_hate
do you think the #awardwapsi is motivated and agenda driven ?,not_hate
how do you feel about white people who are appalled by your cult ?,not_hate
more drug dealers are white,not_hate
Society is like a box of chocolates There are more browns than whites and the blacks are usually never touched.,implicit_hate
" i'm sure some are organic . but when the president of npi richard spencer calls russia the  "" sole white power "" "" in the world 1/2 """,not_hate
: mt : amazing story of lt general boykin praying for a doctor w / no blood pressure during black hawk down & miracle ha ...,not_hate
how fair are you ? no programs for families when white supremacist citizens kill immigrants ?,implicit_hate
white teacher in a brown school -,not_hate
so your only argument is to copy and paste wikipedia ? you havent done any objective research of your own on identity evropa ?,not_hate
pakistani gangs rape of white girls was not racist  says sentencing judge via,implicit_hate
certanly nthose earlyyrs there wre jewish converts bt always jewsn is,not_hate
" rt : same story with calling it  "" racist . "" "" muslims are not a race of people.islam is not a race . islam is an ideology . """,not_hate
it's not about our history . it's about us as a people .,not_hate
britain's labour party expels activist over holocaust denial,not_hate
are you one of those white nationalists ?,not_hate
What do you call a fight between a mexican and a child molester? Alien vs Predator,implicit_hate
even if white birthrates rise it can't match the combination of non-white migration and the net births of non-whites already here .,implicit_hate
greville janner update | the occidental observer #withjewswelose,not_hate
"While sitting with a friend, observing the art at Museum of Modern Art, a museum security employee approaches us. Employee:: So, where are you from? (to my friend) Lemme guess, Japan? Friend:: Uh, no, Korea. Employee:: Ah, and you... (to me) Where are you from? Puerto Rico? Me:: No, I'm from California. Employee:: Right, but you probably are Puerto Rican. Me:: I'm not. Employee:: Are you sure? You *must* have some Puerto Rican blood in you! Me:: I assure you, I don't.",implicit_hate
also  you can be european and not white .,not_hate
the courageous should meet with to discuss islamic facts. name the enemy to defeat it. #biblical #trump,implicit_hate
no wonder they all look like pigs,implicit_hate
milo and pjw are tools to start red pilling normies . they serve an invaluable asset to the greater goal . smh,not_hate
" fresh off the plane  from our friends at aquarellist in russia  muslimgauze  "" trial mixes 1997-1998 "" "" 2xcd ... """,not_hate
educate yourselves abt : melbourne islamic conference hides faces of female speakers via,not_hate
sure  if we could unite it would be better but is it possible ? look at boston and the ne - they hate us with a purple passion,not_hate
it's clearly a white christian,not_hate
no seriously . i get sending everyone post - 1965 back to where they came from  but black people didnt ask to come here . different situation .,not_hate
the bias is too obvious . silenced . doxing the alt-right ? a violation  but carry on .,not_hate
do you think disaffected whites will be turned off by american aesthetics ?,not_hate
polish people still hate the jews  poll finds | read more : via,not_hate
this whole optics thing is so ridiculous and stupid . i never realized just how delusional pe,not_hate
white because white supremacy,implicit_hate
trump / taylor 2016 : let's make america hwhite again !,implicit_hate
ok to hate new york city again : it looks like new york citys brief flirtation with white civilization ( 1994 ...,implicit_hate
it's unfortunate you're uneducated on your own history . keep praying to white jesus maybe he'll enlighten you,implicit_hate
pl rt illegal-slaughter-waste is a mockery of gandhi jayanti,not_hate
belarus  or white russia supported czar & opposed jew bolshies who seemed to prosper,not_hate
i hope that #trump picks a harmless white man from the south like sessions as his vp---no women  no coons of any stripe .,explicit_hate
" you're aware that  "" european "" "" isn't a coherent culture  right ? have any of you ever been to europe ? """,not_hate
white nationalists vow charlottesville is just the beginning | the times of israel,not_hate
hey can you pls help explain to my racist uncle that the polish are the same culture as scandinavians because they're white ?,not_hate
not to be worried ; be nationalist  stick to your point,not_hate
swedish patriots burn down more facilities for non-white invaders | full story :,not_hate
"i believe it is a combination of heredity, culture, and tradition. things which blacks clearly lack. see detroit",implicit_hate
because you chose antifa odds we need 30 people to fight 1 person as a fair fight ?,not_hate
could mean some people are fluent in the details of any given field while others work with their hands . hands on learning and instruction,not_hate
5 / make no mistake  corporate censorship is the civil rights issue of our time . by collectively denying us service  these corporations ...,not_hate
it needs to go back to that. the 3rd world will always be incompatible with the 1st world. denying this is lunacy.,implicit_hate
sure have open borders look what it's done for europe . europe is gone,implicit_hate
dickson represents the best of our people ! patriot . #auburnuniversity #letspencerspeak,not_hate
non-violent protest under #firstamendment #freespeechrallyno one wants to be replaced or exterminated,not_hate
why is jesus probably black ? because he can not tell who was his real father .,implicit_hate
please watch this and make movements to educate christians on islam properly . u must meet bill warner !,not_hate
trump is not a white nationalist .,not_hate
no . we have no right to destroy their countries and the altright would like to stop that ... but they also have no right to come into ours and radically change the demographics & culture . hence  become the third world .,implicit_hate
in this day and age being white is a bad word,implicit_hate
and let the record show that black lives matter is a racist hate group advocating murder and hate,implicit_hate
". our laws apply to illegal aliens, we should focus on aliens and criminal refugees. zero tolerance.",implicit_hate
i'm sure that makes sense . to someone .,not_hate
everyone sign the petition to force a white house response to this hate crime :,not_hate
im confused . mr . jewberg sent a notice to white people saying i should be ashamed to be white . who do i trust ?,explicit_hate
" white rhodesians  boers ; we knew about jews  trusted them as  "" white "" "" . we blinded ourselves 2 what jews did . """,implicit_hate
: germany : islamic organisation demands crosses be covered during muslim burials,not_hate
the gop seems to be forgetting another group they should consider : white people .,not_hate
white privilege is the absence of black and brown failure .,not_hate
all i know is you said you hated me . if that's your picture and you're a white person  you hating me is racist .,not_hate
unimaginable ! ! gas cylinders given to poor for free by pl take note,not_hate
black  white  polka dot ... you rock !,not_hate
this thread comes to a temp end till more info .. but i will keep digging,not_hate
nice try sparky ... fake news just like yourself ! ! !,not_hate
: kill isis . kill mohammed . love america . love jesus .,explicit_hate
it's as if sexual abuse follows perkins around .,implicit_hate
rt the active shooter in charleston sc is a crazy black man not a white supremacist . i know you democrat race baiters ( cont,implicit_hate
america is white america . there is no america without whites dominant .,implicit_hate
i put together a timeline . it is a myth that social media purges happened as a result of charlottesville . the adl was already taking over twitter and youtube . the same is true of crowdfunding platforms,not_hate
profiteers ? nonsense . there is no money in #altright . we fight for freedom  not money .,implicit_hate
