platform,topic,content,toxic,toxic_one_hot,toxic_type,toxic_type_one_hot,expression,expression_one_hot,target,length,label
zhihu,race,黑人要在中国呆，就得把皮拔了，染成黄色的,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 0, 1, 0]",20,hateful
tieba,gender,拳师攻占大学，目的是把男性排挤出高等教育，从而坐稳高位,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 0, 0]",27,hateful
zhihu,region,可能是打s土匪路霸有奖，90年代持枪倒爷、抢火车肯定有啊,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",28,non-hateful
zhihu,lgbt,就凭人家懂得共情,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",8,non-hateful
tieba,race,这个♂的是嘿杂吗,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 0, 1, 0]",8,hateful
zhihu,race,吴施蒙事件，她前夫张哥也不知道是祖上造了什么孽，好好的结个婚，就一顶顶黑帽戴得天下皆知，闻名遐迩。最后离婚了失业了抑郁了,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 1, 0]",60,hateful
tieba,race,你搁这发鬼图呢？,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",8,hateful
tieba,race,南非从来都不是发达国家，从哪个维度来看都是社会问题极为严重的发展中国家，只不过南非借了指标计算方法的空子，一度让自己的人均GDP到达了发达国家的标准。换句话来说，白人政府造假。,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 1, 0, 0, 0]",88,hateful
tieba,lgbt,无可救药之人不需要改变，艾滋中自生自灭,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 0, 0, 1]",19,hateful
zhihu,lgbt,很多女生受腐漫、纯爱小说的影响去掰弯直男，真的。。。。吃饱了撑的,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 0, 0]",32,hateful
zhihu,race,什么玩意儿。反正我身边的漂亮女同学都跟我玩儿得挺好的，也都很有素质，我也没见过什么乱七八糟的女拳行为啊。少上网，各位。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",59,non-hateful
zhihu,race,鲜卑人还有记录吗？早同化了OK？,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",16,non-hateful
zhihu,lgbt,有些gay努力奋斗却依然挣扎在追求自己美好生活的路上，为了顾及多病的父母，用终身不婚的单身贵族形象搪塞了家人，为了找到愿意安安稳稳过日子的那个他，从不约p，被同为gay的圈内人说成是表面圣母白莲花私底下放荡的伪纯洁，被异性恋朋友说成长不大要求高不现实的大龄单身狗，我们活着好难，这时候如果有一个人跟我说朋友我不反对你找同性，但是我恶心你们，我可能不会多生你的气，但我肯定高兴不到哪儿去。,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[1, 0, 0, 0, 0]",193,hateful
tieba,lgbt,人和低等动物不一样，低等到行为只受基因和本能控制，人是高等动物，有着复杂的情感思维意识，人的行为更大程度上是受后天因素影响，这就好比吸烟喝酒上瘾就很难戒掉，这跟基因无关，只是需要毅力来克服，自我愿不愿意去改变，而非不能改变,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",111,non-hateful
zhihu,race,为什么我觉得世界女权是在故意抹黑中国女性呢？中国女性中真正的口区女权比例不大吧？为什么要所有中国女性背锅,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[0, 0, 0, 1, 0]",52,hateful
tieba,race,"""666,中日韩的成绩比白人高。""",0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",17,non-hateful
zhihu,race,长得越漂亮越觉得恶心,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",10,hateful
zhihu,race,你竟然不知道人类早就爱情不分物种了。你以为羊是用来干什么的？,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",30,non-hateful
zhihu,lgbt,你长得帅的话这个回答就攻击不到你啦,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",17,non-hateful
tieba,lgbt,有没有肌肉男来交傻我,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[1, 0, 0, 0, 0]",10,hateful
tieba,gender,吧友们帮我骂个慕女狗，打女拳的狗男硬是想被幕刃当狗玩，真丢脸,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 0, 0]",30,hateful
zhihu,race,没必要问原因，因为那不重要。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",14,non-hateful
tieba,race,挺烦的，一直就想封了那个傻逼，ww什么的,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",20,hateful
zhihu,region,凭啥把锅甩给北京？,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[0, 1, 0, 0, 0]",9,hateful
tieba,race,为什么会被歧视？我觉得尊重是互相的，我不歧视任何群体，我是鄙夷某些行为。,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[0, 0, 0, 1, 0]",36,hateful
zhihu,race,估计不远了🤔,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",9,non-hateful
zhihu,race,艾滋这事儿真的是国内最失败的一次舆论败仗，在早期大家从老港片以及一些西方影片中了解到艾滋，并且知道了艾滋的可怕。后来一通骚操作，现在的年轻人除了深刻的不能歧视艾滋病患者的思维以外，反而许多人却表达出一种对艾滋没有一丝恐惧的情绪，甚至在B站还能看到不断的复制黏贴什么艾滋长期服药传染低寿命长对艾滋的可怕程度不断弱化的言论，我想说你们关注过艾滋病患者的心理负担和对生命社交的绝望吗？不可怕的吗？然后就是取消入境检测。从来不说非洲人这病得病率。这几乎就是性教育的一次倒退，在政治正确和圣母的挟持下的倒退。,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 1, 1]",249,hateful
tieba,gender,个人认为可以用歪女这个词来指那些多疑、热衷于勾心斗角的女的，虽然在我们传统文化的词汇里面有类似的词语或句子，比如说三个nr一台戏，但是个人认为应该造一个词来反击拳虱的诬蔑,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 0, 0]",85,hateful
tieba,gender,什么空手套白狼,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",7,non-hateful
tieba,lgbt,原本就是基佬的自嘲，还是用淋语说的，结果不知道谁拿去用出基圈了吗？,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[1, 0, 0, 0, 0]",33,hateful
zhihu,race,别这么虾仁啊,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",6,non-hateful
zhihu,region,答主看看这个呢？最近看了好多洛阳与西安之间的事情，也是晕头转向的。总之两地互喷问题肯定是解决不了，只会加剧矛盾。希望两地间的人都不要再被带节奏了吧。,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[0, 1, 0, 0, 0]",74,hateful
zhihu,region,好像东北是被黑的最惨的 但是在南方统计最想找哪里的男朋友的 发现东北人更受南方妹子欢迎 这就尴尬了 南方人这么有钱为哈还不受妹子待见呢,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[0, 1, 0, 0, 0]",67,hateful
zhihu,race,有一种情况可以接受，那就是一起去外国人的家乡定居的,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",25,non-hateful
zhihu,lgbt,评论区谁破防了我不说🤔,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",14,non-hateful
tieba,race,我是黑人，我爱中国女孩…,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",12,non-hateful
zhihu,region,我不歧视河南，我觉得黑河南是有人带节奏,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[0, 1, 0, 0, 0]",19,hateful
zhihu,region,不觉得山东差。。。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",9,non-hateful
tieba,gender,人造子宫早就80年代就成功，微量偏向化基因改造早就有了，因为阻力无法推行。老龄化的人口结构会逼着政府推行此政策。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",56,non-hateful
tieba,race,智伤太低，以后镇傅部门一片黑。,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 0, 1, 0]",15,hateful
tieba,gender,差不多，小学的时候班主任也是打拳的，男的打女的抄课文，女的打男的p事没有，结果最后一个学期快结束了全班男生起义,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 0, 0]",55,hateful
tieba,race,这些人淹不死的，应该学小日子，强制充军扛弹药箱搬炮弹,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 1, 0, 1, 0]",26,hateful
tieba,race,被黑舒服了，所以,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",8,non-hateful
zhihu,region,一般人都怼东北吧😅。有些东北人不是搞不清，他就是直说江浙沪，所以最近被打脸打太厉害硬造了一个江南系，我也不知道是说谁。。。,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[0, 1, 0, 0, 0]",64,hateful
tieba,gender,谁说老婆一定是女的？,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 0, 0]",10,hateful
tieba,gender,就和网上经常说反话自认为清醒的一样，大家都说反话，反而反话变成了事实。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",35,non-hateful
tieba,gender,这是为了三胎人口，加大力度歧视污名化单身群体吗？这样的词汇单身狗，光棍，还有这类贬低单身群体文章，什么各种差，这社会真是操蛋ls,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",64,hateful
zhihu,lgbt,这也是我认为的感性，我认为的感性就是人总是趋向于自我强化而不是打破自我。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",36,non-hateful
tieba,race,发了个默贴被这个，看不懂反讽的开小号玩意儿攻击了,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 0, 1, 0]",24,hateful
zhihu,region,可拉倒吧，打小报告都来了，你们思政指导都是吃干饭的是吧？还小报告。怕是成天嘴不干净找挨揍的主🤣编也编像点，这长那长的找你谈话就不嘚瑟了🤣,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",76,hateful
tieba,lgbt,反同就是因为要保护中国公民的人格尊严才要反同，同恋太丢中国的脸了！公民在行使自由和权利的时候不得损害国家的社会的集体的利益和其他公民的合法自由和权利。同恋就是在损害国家，所有公民也染艾不结婚生子对国家没有损害？还有注意的是要合法因为同恋的爱情不被认可所以不能同婚。,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[1, 0, 0, 0, 0]",132,hateful
zhihu,region,这些对东北人搞地域歧视的人其实很蠢，早晚搬起石头砸自己脚。,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[0, 1, 0, 0, 0]",29,hateful
zhihu,lgbt,甜上加甜?(虽然我精神洁癖对性敬而远之),0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",20,non-hateful
zhihu,region,这人可能这辈子没出过抚顺,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 1, 0, 0, 0]",12,hateful
zhihu,region,不过现实中说东北的真不少，我见的多了,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",18,non-hateful
zhihu,race,这个炼油厂还没投产吧，丹哥特要被拖死了,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",19,non-hateful
zhihu,lgbt,咋影响到啊😓,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",9,non-hateful
tieba,gender,人造子宫不是为了贬低女性，是为了女性不受十月怀胎，骨肉分离之苦，谢谢,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",34,non-hateful
tieba,gender,死无对证，好！,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",7,non-hateful
zhihu,race,力口之束之后，中间方将被对立双方视为叛徒。吃瓜,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",23,non-hateful
tieba,lgbt,玉米的黄油变成炳蔚通知书，落在头上是写着艾的，还砸出血了,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 0, 0, 1]",28,hateful
tieba,race,真想把这对***杀了,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",10,hateful
zhihu,region,哪里都有好坏人，按地图分辨的非蠢即坏,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",18,non-hateful
tieba,gender,什么正经大肥猪,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",7,hateful
tieba,race,好吃的炸鸡,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",5,non-hateful
zhihu,region,南京冯齐海是大学老师呢🤭,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",15,non-hateful
zhihu,lgbt,我评论中有提到关于男性或者女性的字眼吗？😄😄,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",28,non-hateful
zhihu,region,自己不理解说别人糊涂，行河南人是全国的祖宗，怪不得你们被黑的厉害。,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",33,hateful
zhihu,region,你这样人的人真的很讨厌 张口闭口南大人 或许就是网络上你这样的人很多 才引起了对立 我自己在东北读的书 同学朋友 大都是东北人 其实大家生活里都很友好 但是就是极少部分人在网络上 上跳下窜的 导致很重的戾气,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[0, 1, 0, 0, 0]",103,hateful
zhihu,lgbt,我是直女，我也是性向平权主义者。其实吧，接受或者不接受的人，我都能理解他们。我真正为他们可悲的，是自己不理解不支持同性恋，还不能理解我们为什么要支持的人，他们的世界实在是太小了。说起这个，有同事曾经问我“你更不能接受0还是1”，我坦然回答“我都能接受，我不歧视同性恋”。他追问了我三遍“相对来说呢？勉强选一个？”,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",156,non-hateful
zhihu,region,本人有位兄弟 河南人常驻新疆…但人真好,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",19,non-hateful
zhihu,race,这个女的可能是欲望比较强吧,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 0, 0]",13,hateful
tieba,race,支持黄白混血！,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",7,non-hateful
zhihu,race,🤣图片确实好笑,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",11,non-hateful
zhihu,race,也不能，跟黑人差不多一个态度,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",14,non-hateful
tieba,race,蝴蝶鸡死的好,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",6,hateful
tieba,gender,这个、、我作为一位女生也觉得赞同==,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",18,non-hateful
zhihu,region,你真是个蒻痣,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",6,hateful
zhihu,race,反正到时候会有舔狗接盘，无所谓，玩的越high越好🤣,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 0, 0]",30,hateful
zhihu,race,还特意去搜了一下🤔 我要吐了😅,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",21,non-hateful
tieba,lgbt,他是不是和男的发生过不然为什么说十艾九基…,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[1, 0, 0, 0, 1]",21,hateful
tieba,gender,如果人造子宫普及了，谁最需要婚姻？,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",17,non-hateful
zhihu,race,😅😅😅至于这么强吹吗？,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",20,non-hateful
tieba,gender,女的都这种玩意儿真以为男的想结婚？当然，舔狗不算人,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 0, 0]",25,hateful
tieba,gender,所以别娶江西的就可以了，她们嫁的出去嫁不出去她们的事情只不过江西抬高了全国的彩礼攀比这个就恶心了,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 1, 1, 0, 0]",48,hateful
zhihu,race,你喜欢默默默？默女也是够,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 1, 0]",12,hateful
tieba,race,加油！！坚持！！这个吧不能再沦陷了！,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",18,non-hateful
tieba,race,你说的这个家伙也不来了。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",12,non-hateful
zhihu,race,"但是，最重要的一点在于，我国男性不能因为女性的堕落而毁掉五千年的文化。我认为在这一点上，我与大多数男性的想法是相同的。我们态度可以用丘吉尔式的态度来回应她们:You ask ""what is our policy? I will say ""to wage the war ，with all our might and all the strebgth the God can give us,to fight against the enemy",1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 0, 0]",223,hateful
zhihu,region,个人感觉浙江比苏南上海友好非常多，实地都去过,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",22,non-hateful
zhihu,lgbt,我向那些不理智的人对你道歉,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",13,non-hateful
zhihu,region,但是有一说一，我从事旅游行业，在青岛，我们这对东北人的看法非常统一大家都挺反感他们的，发生矛盾也几乎都是跟东北人有些人是非常不讲理还感觉自己很有理，这不是少数现象，10次吵架8次东北的。所以我打心底里反感东北人，但是也有好的10个里面可能有两个,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 1, 0, 0, 0]",122,hateful
zhihu,lgbt,国内国外都有反对的吧。。。只是国外比较开放 。。。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",25,non-hateful
tieba,lgbt,活着浪费空气死了浪费土地的渣子们,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",16,hateful
zhihu,region,说河南人偷井盖的明明是北京人，我一个南方人都知道，东北人会不知道。东北人就会舔北京，然后拉着整个北方对抗南方，搞得像分裂国家一样。真的没治了。,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[0, 1, 0, 0, 0]",71,hateful
tieba,gender,寄生虫啥都指望男人也配谈女权和男女平等,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 0, 0]",19,hateful
tieba,gender,这身材哪一国都行啊，只要不是黑人,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 0, 1, 0]",16,hateful
tieba,race,努力姐，宫廷玉液酒的下一句是什么,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",16,non-hateful
tieba,gender,有几个男的天天颜文字啊?,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",12,non-hateful
tieba,gender,他真的有错吗,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",6,non-hateful
zhihu,race,那女的作态还非常低贱，太丢人了,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 0, 0]",15,hateful
zhihu,race,接盘的排队的，呵呵…搞得像买似的，对自己不负责任的人，反正无所谓了…估计智商程度也不会考虑多年人生中的发展,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 0, 0]",53,hateful
tieba,gender,今时不同往日,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",6,non-hateful
zhihu,region,我感觉你这么一说更黑了。。。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",14,non-hateful
tieba,gender,苏格兰群，勇敢的心了解一下,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",13,non-hateful
tieba,gender,就群里看大部分人还是理智的，还是喷幕刃的,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 0, 0]",20,hateful
zhihu,race,钓鱼呢搁这儿,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",6,non-hateful
zhihu,race,重点是那些喜欢黑的自己为什么不美黑，其实仔细分析她们喜欢上的玩意就会发现长的像一种动物，大黑狗。也就是他们那些人不是真正人类间相互爱慕而是他们把对方当成了宠物的一种爱欲。,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 0, 1, 0]",85,hateful
zhihu,lgbt,你真好。真善良。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",8,non-hateful
zhihu,race,宣传出了大问题，绝逼有大间谍,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",14,non-hateful
tieba,lgbt,你不是同，你是个m吧,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[1, 0, 0, 0, 0]",10,hateful
zhihu,region,陕西现在的话，有点偏绿,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",11,non-hateful
zhihu,region,一直有，江北八市，会说江北的就是苏中扬泰通，苏北人喜欢说苏北八市，或者苏北五市,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",39,non-hateful
zhihu,region,再不济？武汉大学？华中科技大学？哈哈，这个妈明显不懂啊，633除非去最差专业，不然这两所也不稳啊……,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",50,non-hateful
zhihu,race,你别说真的有大批中国男人去非洲打工然后就在本地说媳妇的，之前在我妈快手上看过一个中非混血的小姑娘，五官可精致可好看了（他爸是中国人），还有一个中国小伙子和他的非洲媳妇生了个大胖小子一点都不黑，一点黑人血没混进去🤔,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",109,non-hateful
tieba,gender,租借女友可以拜托相亲烦恼，每次回去都换一个，久而久之父母就放弃了。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",33,non-hateful
zhihu,race,我很讨厌这种女人 就是因为有部分媚黑女的存在 大街上见到黑人 他敢肆无忌惮的跟你搭讪 在你透露出嫌弃恶心的表情 他还能淫荡的看着你笑 我觉得不被尊重 很想打他 但是我不敢 我觉得他有艾滋 而造成这种情况的 我认为所谓的媚黑女有一定“推动力量”,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 1, 0]",121,hateful
tieba,gender,呜呜呜畒破防啦,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 0, 0]",7,hateful
zhihu,race,工友那个装置的😆,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",11,non-hateful
zhihu,race,就想不明白为啥国内有些女的咋就喜欢这一口呢!难道真的就是喜欢刺激，想知道和艾滋病共存亡是啥滋味😅😅😅😅,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 1, 1]",63,hateful
tieba,gender,婚姻是女人的必需品。男人可以一辈子不结婚，女人不能！现实中无数的男人却比女人还积极，为了娶妻生子不惜掏空家底当舔狗，真是无语。,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 0, 0]",63,hateful
zhihu,race,只能说文化思想领域被打败了，中国的女性成为事实意义上的精神殖民者,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 0, 0]",32,hateful
zhihu,region,人家安徽的，江苏人出省也就去上海，别给自己贴金,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 1, 0, 0, 0]",23,hateful
tieba,race,恶心，现在又来荼毒祖国的花朵吗,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",15,hateful
tieba,lgbt,还有一次我和表弟小姨一家出去旅游在火车上，我开玩笑和表弟说,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",29,non-hateful
zhihu,race,还是民族自信不够,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",8,non-hateful
zhihu,race,记着有对上海夫妻，老婆生了个黑人小孩，这种才是被批判的。,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 1, 0]",28,hateful
tieba,race,因为近代到今天都是白人领导，所谓现代化主要就是白人封建文化改进后的现代化。文化输出亚洲靠日韩，没有历史大国什么事，白人好看完了，就该正确的默好看了，没有日韩审美偏移得会更惨，即使有大量鲜肉,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 0, 1, 0]",94,hateful
tieba,lgbt,在家里卫生间发现的一个小瓶子也不知道是啥，大家瞅瞅有认识的不,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",30,non-hateful
tieba,race,还有埃博拉,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",5,non-hateful
tieba,gender,确实男人结婚离婚都是扒一层皮女人结婚离婚都有钱赚能过得不好吗？拿着男人的钱可不舒服吗,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 0, 0]",42,hateful
tieba,gender,你以为她是给你们看的？给她提纯后的粉丝看的罢了“她都已经道歉了你们还想要她怎样？”，之后该赚米还是赚米,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 0, 0]",51,hateful
tieba,gender,蝻蛆少管女人的閒事好嘛真不要臉太下頭,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 0, 0]",18,hateful
tieba,gender,又变态又普信，还要当理中客，纯纯下头男！！,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 0, 0]",21,hateful
